iter	RMSE
0	11270.25882
1	10425.5955
2	9662.74087
3	9075.110151
4	8488.458873
5	7927.354479
6	7476.045085
7	7102.205007
8	6716.049728
9	6374.290686
10	6072.745191
11	5842.111392
12	5617.598807
13	5419.65326
14	5269.400852
15	5129.817849
16	5011.971583
17	4914.090413
18	4818.997607
19	4739.916642
20	4670.262789
21	4616.369013
22	4567.230627
23	4527.64407
24	4486.00968
25	4448.091364
26	4421.489443
27	4396.688759
28	4377.522334
29	4360.766438
30	4341.816505
31	4323.777028
32	4303.938672
33	4293.504704
34	4283.687902
35	4276.307099
36	4266.526202
37	4259.010628
38	4249.981375
39	4241.226712
40	4231.752939
41	4220.808111
42	4214.405976
43	4202.378903
44	4197.213515
45	4188.61911
46	4183.080914
47	4176.508142
48	4169.955614
49	4166.817657
50	4162.845106
51	4154.552981
52	4150.443218
53	4144.598801
54	4140.023075
55	4134.31935
56	4132.185661
57	4128.838395
58	4122.723116
59	4116.468656
60	4108.337165
61	4103.062416
62	4099.194826
63	4093.328151
64	4090.804494
65	4087.394064
66	4083.980605
67	4077.530455
68	4074.630452
69	4068.861959
70	4066.386185
71	4063.826952
72	4061.579687
73	4055.703666
74	4052.574538
75	4046.848297
76	4040.992634
77	4040.110097
78	4038.458786
79	4035.683757
80	4033.696823
81	4032.031182
82	4027.046746
83	4020.576903
84	4013.875306
85	4009.00842
86	4006.484731
87	4003.865104
88	4002.729088
89	3999.549197
90	3996.491542
91	3993.875634
92	3991.5379
93	3990.022616
94	3985.361174
95	3976.124762
96	3967.607245
97	3966.193651
98	3964.830825
99	3954.268141
